,anthesis.ARIHAS_2013_drought,anthesis.ARIHAS_2013_watered,anthesis.BIOGAI_2012_drought,anthesis.BIOGAI_2012_watered,anthesis.BIOGAI_2013_drought,anthesis.BIOGAI_2013_watered,anthesis.BIOGRA_2013_drought,anthesis.BIOGRA_2013_watered,anthesis.BIONER_2012_drought,anthesis.BIONER_2012_watered,anthesis.BIONER_2013_drought,anthesis.BIONER_2013_watered,anthesis.KWSCAR_2012_drought,anthesis.KWSCAR_2012_watered,anthesis.KWSKRK_2012_drought,anthesis.KWSKRK_2012_watered,anthesis.KWSKRK_2013_drought,anthesis.KWSKRK_2013_watered,anthesis.KWSMUR_2013_drought,anthesis.KWSMUR_2013_watered,anthesis.SYNHUN_2012_drought,anthesis.SYNHUN_2012_watered,anthesis.SYNHUN_2013_drought,anthesis.SYNIT_2013_drought,anthesis.SYNIT_2013_watered,anthesis.UNIBO_2012_drought,anthesis.UNIBO_2012_watered
NQ508_usda,67.88676733,70.82991088,68.69149132,68.6213831,78.49169962,77.19401836,70.33014062,69.82531732,69.6625106,70.38303158,75.65829419,70.7646418,70.77192269,70.14550139,66.47253672,66.55602857,67.7793703,66.59287161,60.73508721,64.17798709,70.04450437,65.9400833,73.40678542,72.15902087,74.60666602,68.15939973,66.04169161
NS701_usda,66.81219675,69.55473255,69.94896978,68.95038324,82.98959758,77.35095211,68.12482456,70.23396962,70.9663788,70.18362274,75.69727417,71.99401437,73.02396885,70.39733415,65.70809498,67.53790584,68.94958519,67.64798197,61.7065844,63.5860534,67.40379458,66.02510258,72.20074264,73.22166305,72.21923546,66.89756729,66.98816851
Oh02_inra,71.87892633,70.3782423,72.80859521,71.03512297,88.5333407,78.16172579,72.08367138,72.53301605,73.43907466,74.02201768,77.79282105,73.61814187,75.88647148,71.77653665,70.16216318,71.24622416,69.54779262,68.84688933,67.05582232,70.3586073,74.39006406,70.59739209,78.15469329,74.88029628,74.230101,71.92159343,71.02309968
Oh33_inra,66.56662613,71.49163546,69.05521646,65.70080407,82.83703986,78.34098474,67.38307854,68.80198603,70.00354214,68.66746005,74.89495869,68.78867346,70.77083014,69.51399823,63.9122955,65.35550407,68.9534147,66.98723926,61.50210327,60.47667509,65.22014128,65.08748417,71.96869192,72.13364235,73.38401627,66.21036793,65.33286175
Oh40B_inra,67.44345455,70.39764171,68.64667488,65.17355249,77.12153075,76.91647077,70.95201171,68.08724088,70.21479061,69.78969844,74.34414185,67.71970383,70.52658336,70.60747656,63.76518017,63.69840764,69.57921213,67.4065894,62.55872169,66.26216442,66.94023689,67.71541356,72.06418295,73.00131235,70.18728364,67.78653958,67.4390418
Oh43_inra,61.01368194,67.66036526,67.31125453,67.11729419,77.55699456,74.17456773,67.36992003,67.86729512,69.3621466,69.25522759,70.94793888,67.57446202,69.46745278,66.60740683,65.04411778,63.72497315,65.66040277,66.08579516,61.60561597,62.93463572,67.24526055,65.84656649,71.8287246,73.27040134,72.0593249,65.76884793,65.57322413
Os426_inra,70.7033284,70.19954186,70.18906369,69.38641057,83.1739069,79.28306236,73.05349703,71.22580551,71.11926679,71.19990215,76.32624185,72.79665492,73.82515927,73.98622229,68.11422732,69.01941464,68.56881567,66.68710035,65.38696951,68.53820449,71.3604142,70.24108968,75.99101299,73.11646326,70.96306691,73.18678568,72.81335545
P465P_inra,65.13170613,66.8767994,65.67966899,66.55617644,79.90555065,77.23686062,70.94184904,68.56554476,68.44341645,68.93838247,75.11744132,70.97609839,70.80624163,69.62561712,63.86434064,64.36735052,66.37493972,65.89385937,63.97672004,63.62598588,70.48748215,66.28537491,71.93316159,71.84951971,71.53357239,66.34363309,65.3935342
Pa36_inra,59.98860541,61.15114262,62.21247013,62.64824484,76.45476029,71.38444149,63.91432444,64.02309098,63.52662982,66.3869132,68.23556249,64.02493102,67.75101924,64.70278668,60.00479554,58.79783499,63.49825011,62.60381628,60.02655474,62.14316478,63.44574291,64.04947596,68.91772747,70.82402201,69.99609736,60.14966459,62.64266326
Pa405_uh,68.09913889,66.94689595,65.54831258,64.45870474,76.87255468,75.50734611,69.94235578,67.67472713,68.33858253,68.99849807,72.68240415,66.846776,68.71519599,69.29172315,65.67129223,65.73463353,66.48666743,64.48409817,61.26794216,63.32623191,67.63519011,66.0265097,71.54112227,72.20588971,72.07527482,66.15778982,64.90562174
